ba_a,ba_b,benchmark,intervention_mw,relief_mwh,residual_spread_usd_mwh,relief_value_usd,annual_cost_usd,benefit_cost_ratio,cost_per_relieved_dollar
BPAT,CISO,transmission_capacity,50.0,420889.2025698268,1.0244183584221935,467187.0148525078,7500000.0,0.06229160198033437,16.053528376356457
BPAT,CISO,transmission_capacity,100.0,809327.604348393,0.9454351108760555,898353.6408267163,15000000.0,0.05989024272178109,16.697210673289135
BPAT,CISO,transmission_capacity,250.0,1804008.1141177635,0.7431814290240257,2002449.0066707176,37500000.0,0.0533986401778858,18.727068641986396
BPAT,CISO,transmission_capacity,500.0,3011850.75215468,0.49758435715873245,3343154.334891695,75000000.0,0.04457539113188927,22.43390298115857
BPAT,CISO,transmission_capacity,1000.0,4361985.725460023,0.2230542274676298,4841804.155260625,150000000.0,0.03227869436840417,30.980187382636046
BPAT,CISO,grid_storage_4h,50.0,59671.47177554043,1.0978666820656506,66235.33367084988,9375000.0,0.0070651022582239875,141.5407680527158
BPAT,CISO,grid_storage_4h,100.0,118690.67964237521,1.0858659924232796,131746.6544030365,18750000.0,0.007026488234828613,142.31860448342323
BPAT,CISO,grid_storage_4h,250.0,291905.629390819,1.050645274821645,324015.24862380914,46875000.0,0.006912325303974595,144.66911726868508
BPAT,CISO,grid_storage_4h,500.0,568202.2692226231,0.9944644085631078,630704.5188371117,93750000.0,0.0067275148675958575,148.64329840676513
BPAT,CISO,grid_storage_4h,1000.0,1077262.5697691925,0.8909544683772718,1195761.4524438037,187500000.0,0.006377394413033619,156.80385048104887
BPAT,CISO,flexible_load,50.0,29917.717559377426,1.1039166712632218,33208.666490908945,3500000.0,0.009488190425973984,105.39417476935257
BPAT,CISO,flexible_load,100.0,59671.47177554043,1.0978666820656506,66235.33367084988,7000000.0,0.009462190524407126,105.68377347936112
BPAT,CISO,flexible_load,250.0,147957.91574026036,1.0799149295440016,164233.286471689,17500000.0,0.009384759226953657,106.55574382003674
BPAT,CISO,flexible_load,500.0,291905.629390819,1.050645274821645,324015.24862380914,35000000.0,0.009257578532108832,108.0196075606182
BPAT,CISO,flexible_load,1000.0,568202.2692226231,0.9944644085631078,630704.5188371117,70000000.0,0.00901006455481588,110.98699614371796
